CONTIG AVERAGE.DEPTH MEDIAN.DEPTH MIN.DEPTH MAX.DEPTH 
LC2873A1_contig298_len748_circularized 13.5111 13 0 30
LC2873A1_contig299_len874 489.984 571 1 649
LC2873A1_contig2_len759_circularized 566.133 656 13 747
LC2873A1_contig301_len752_circularized 233.594 265 6 324
LC2873A1_contig302_len740_circularized 84.5079 72 0 232
LC2873A1_contig303_len737_circularized 76.4746 76 1 147
LC2873A1_contig304_len752_circularized 230.201 257 8 331
LC2873A1_contig306_len809 182.023 204 4 261
LC2873A1_contig307_len737_circularized 482.487 550 14 722
LC2873A1_contig308_len739_circularized 392.679 458 14 509
LC2873A1_contig309_len751_circularized 38.9911 44 1 56
LC2873A1_contig310_len739_circularized 356.517 422 15 459
LC2873A1_contig312_len749_circularized 142.263 159 2 226
LC2873A1_contig313_len753_circularized 358.236 428 7 470
LC2873A1_contig314_len834 414.764 458 29 557
LC2873A1_contig315_len751_circularized 102.246 111 0 176
LC2873A1_contig316_len719_circularized 78.5316 82 1 146
LC2873A1_contig317_len738_circularized 223.918 260 4 311
LC2873A1_contig318_len740_circularized 52.2236 39 1 162
LC2873A1_contig31_len975 356.063 359 1 692
LC2873A1_contig320_len740_circularized 423.773 493.5 11 565
LC2873A1_contig322_len741_circularized 22.6341 9 0 99
LC2873A1_contig323_len1510_circularized 285.459 255 6 776
LC2873A1_contig324_len1509_circularized 130.559 138 1 296
LC2873A1_contig325_len741_circularized 182.299 202 3 302
LC2873A1_contig326_len739_circularized 63.5782 68 2 107
LC2873A1_contig328_len739_circularized 340.065 385 11 481
LC2873A1_contig329_len750_circularized 313.55 349 5 511
LC2873A1_contig331_len751_circularized 281.512 329 6 381
LC2873A1_contig333_len748_circularized 113.416 105 3 247
LC2873A1_contig334_len751_circularized 112.759 125 3 180
LC2873A1_contig335_len963 539.739 578 15 846
LC2873A1_contig337_len739_circularized 793.708 941 33 1019
LC2873A1_contig338_len761_circularized 401.536 453 11 615
LC2873A1_contig339_len749_circularized 1045.74 1208 39 1443
LC2873A1_contig340_len759_circularized 147.56 161 4 214
LC2873A1_contig343_len740_circularized 46.509 37 0 136
LC2873A1_contig344_len762_circularized 100.139 29 0 500
LC2873A1_contig345_len742_circularized 52.1906 57 0 96
LC2873A1_contig348_len742_circularized 330.165 375 10 487
LC2873A1_contig350_len739_circularized 106.343 115 3 185
LC2873A1_contig351_len751_circularized 238.132 267 5 334
LC2873A1_contig353_len741_circularized 195.488 197 2 404
LC2873A1_contig354_len749_circularized 111.095 117 1 207
LC2873A1_contig357_len453 364.777 421 29 516
LC2873A1_contig359_len761_circularized 378.038 436 11 519
LC2873A1_contig360_len739_circularized 28.7199 31 0 48
LC2873A1_contig361_len750_circularized 131.01 153 5 180
LC2873A1_contig362_len741_circularized 104.332 120 3 145
LC2873A1_contig363_len740_circularized 38.6708 45 3 59
LC2873A1_contig364_len741_circularized 188.186 215 4 265
LC2873A1_contig365_len740_circularized 187.271 215 4 250
LC2873A1_contig366_len743_circularized 107.744 116 4 161
LC2873A1_contig367_len751_circularized 48.7913 54 0 90
LC2873A1_contig368_len742_circularized 198.04 203 4 450
LC2873A1_contig369_len751_circularized 204.769 228 6 317
LC2873A1_contig36_len1500_circularized 220.961 151.5 0 490
LC2873A1_contig370_len760_circularized 37.5198 40 2 53
LC2873A1_contig37_len741_circularized 180.668 209 2 263
LC2873A1_contig38_len740_circularized 597.204 698 21 818
LC2873A1_contig39_len749_circularized 180.585 204 2 251
LC2873A1_contig3_len741_circularized 243.798 282 5 349
LC2873A1_contig42_len709_circularized 207.519 240 5 295
LC2873A1_contig43_len1519 212.275 209 3 494
LC2873A1_contig47_len738_circularized 470.199 538 19 614
LC2873A1_contig48_len742_circularized 86.0975 86 1 174
LC2873A1_contig4_len876 119.838 132 1 167
LC2873A1_contig52_len734_circularized 587.621 685 15 804
LC2873A1_contig56_len747_circularized 64.9699 74 0 106
LC2873A1_contig57_len768 215.893 258.5 12 281
LC2873A1_contig59_len741_circularized 256.451 269 4 445
LC2873A1_contig5_len743_circularized 340.759 399 8 458
LC2873A1_contig62_len750_circularized 187.732 220 8 260
LC2873A1_contig65_len750_circularized 165.809 179 6 243
LC2873A1_contig76_len902 58.4512 68 1 88
LC2873A1_contig78_len743 46.8654 49 2 84
LC2873A1_contig7_len709 671.221 785 58 881
LC2873A1_contig82_len750_circularized 243.943 244 7 510
LC2873A1_contig83_len1479_circularized 183.91 160 6 337
LC2873A1_contig86_len834 320.956 367.5 17 427
LC2873A1_contig8_len1080 350.424 354 21 681
LC2873A1_contig90_len741_circularized 251.092 294 11 329
LC2873A1_contig91_len740_circularized 73.0978 85 3 98
LC2873A1_contig94_len749_circularized 399.519 462 8 556
LC2873A1_contig95_len742_circularized 637.538 732 18 933
LC2873A1_contig96_len1488 559.591 470 32 870
