CONTIG AVERAGE.DEPTH MEDIAN.DEPTH MIN.DEPTH MAX.DEPTH 
RO393A1_contig100_len756_circularized 801.547 957 19 1041
RO393A1_contig103_len833 165.616 111 1 527
RO393A1_contig105_len749_circularized 196.512 193 4 443
RO393A1_contig108_len750_circularized 59.7233 25 0 263
RO393A1_contig111_len807 984.735 1162 20 1365
RO393A1_contig113_len757_circularized 676.675 817 15 871
RO393A1_contig114_len1490_circularized 496.163 496.5 1 819
RO393A1_contig116_len740_circularized 768.116 896 24 1005
RO393A1_contig117_len741_circularized 26.6712 16 0 106
RO393A1_contig11_len738_circularized 176.175 208 6 242
RO393A1_contig120_len742_circularized 308.196 351 12 454
RO393A1_contig121_len741_circularized 804.903 959 26 1078
RO393A1_contig129_len739_circularized 419.058 495 11 557
RO393A1_contig12_len752_circularized 473.535 557.5 9 640
RO393A1_contig130_len750_circularized 529.763 623.5 14 748
RO393A1_contig131_len749_circularized 55.7419 62 1 90
RO393A1_contig132_len1499_circularized 1113.24 872 29 2466
RO393A1_contig135_len751_circularized 110.029 123 1 166
RO393A1_contig138_len750_circularized 133.12 142 0 253
RO393A1_contig13_len433 791.273 912 58 1259
RO393A1_contig140_len1506_circularized 1097.94 1082.5 13 1596
RO393A1_contig142_len748_circularized 5443.41 6395 143 7316
RO393A1_contig144_len749_circularized 695.627 828 11 943
RO393A1_contig147_len781 329.25 421 0 487
RO393A1_contig149_len587 59.7376 59 5 100
RO393A1_contig151_len740_circularized 174.856 185 4 336
RO393A1_contig152_len749_circularized 631.196 737 14 844
RO393A1_contig153_len751_circularized 24.7725 15 0 100
RO393A1_contig155_len740_circularized 1109.95 1315 22 1518
RO393A1_contig156_len750_circularized 334.274 383.5 13 517
RO393A1_contig158_len751_circularized 396.028 453 14 557
RO393A1_contig159_len751_circularized 81.8535 87 1 151
RO393A1_contig161_len750_circularized 747.174 886 13 1015
RO393A1_contig162_len752_circularized 616.424 714 15 841
RO393A1_contig163_len742_circularized 1398.21 1659 51 1845
RO393A1_contig164_len742_circularized 255.51 290 6 376
RO393A1_contig166_len719_circularized 2477.26 2920 58 3356
RO393A1_contig168_len739_circularized 99.3678 107 2 177
RO393A1_contig169_len748_circularized 75.0457 88 2 116
RO393A1_contig16_len1499_circularized 2340.94 1747 52 5106
RO393A1_contig170_len838 8.33652 10 0 14
RO393A1_contig172_len749_circularized 253.091 287 4 407
RO393A1_contig174_len740_circularized 184.7 205 4 338
RO393A1_contig176_len739_circularized 321.26 375 11 461
RO393A1_contig178_len740_circularized 211.728 243 3 329
RO393A1_contig179_len750_circularized 598.194 691 11 811
RO393A1_contig17_len924 282.846 355 0 411
RO393A1_contig180_len740_circularized 23.8708 13 1 91
RO393A1_contig182_len748_circularized 272.744 318 4 371
RO393A1_contig183_len751_circularized 277.984 323 9 414
RO393A1_contig184_len739_circularized 192.641 200 3 362
RO393A1_contig186_len748_circularized 363.625 424 0 520
RO393A1_contig188_len740_circularized 309.621 356 6 428
RO393A1_contig189_len739_circularized 354.349 409 3 500
RO393A1_contig18_len740_circularized 136.311 159 6 185
RO393A1_contig190_len739_circularized 92.9224 104 3 134
RO393A1_contig191_len749_circularized 202.773 245 8 286
RO393A1_contig19_len750_circularized 1266.85 1499 28 1678
RO393A1_contig1_len1488_circularized 1224.8 1333 13 1593
RO393A1_contig22_len750_circularized 522.833 609 16 759
RO393A1_contig24_len749_circularized 44.2692 49 1 66
RO393A1_contig25_len740_circularized 277.171 296 6 508
RO393A1_contig26_len742_circularized 1600.16 1898.5 55 2127
RO393A1_contig27_len743_circularized 329.561 362 5 616
RO393A1_contig2_len749_circularized 92.8721 104 3 139
RO393A1_contig30_len739_circularized 1025.76 1221 44 1379
RO393A1_contig31_len750_circularized 973.307 1134 25 1408
RO393A1_contig32_len760_circularized 1360.66 1608 42 1829
RO393A1_contig33_len740_circularized 519.024 616 7 688
RO393A1_contig35_len761_circularized 112.327 130 4 166
RO393A1_contig36_len632 354.136 337.5 21 704
RO393A1_contig37_len750_circularized 137.651 167 4 233
RO393A1_contig38_len749_circularized 487.934 567 12 665
RO393A1_contig3_len709_circularized 256.069 302 3 366
RO393A1_contig43_len749_circularized 688.647 820 10 985
RO393A1_contig44_len776 68.8209 76 3 97
RO393A1_contig46_len739_circularized 215.665 258 7 299
RO393A1_contig4_len743_circularized 35.7615 39 1 68
RO393A1_contig50_len750_circularized 128.386 146 1 192
RO393A1_contig52_len750_circularized 49.0878 55 0 71
RO393A1_contig53_len751_circularized 65.5705 72 1 116
RO393A1_contig55_len742_circularized 304.812 347 4 444
RO393A1_contig56_len740_circularized 1823.42 2171 58 2396
RO393A1_contig57_len741_circularized 173.603 196 2 269
RO393A1_contig5_len740_circularized 1448.86 1715 50 1915
RO393A1_contig60_len750_circularized 955.436 1124 30 1256
RO393A1_contig61_len740_circularized 594.369 713 17 781
RO393A1_contig62_len750_circularized 15.6622 7 0 73
RO393A1_contig67_len752_circularized 1003.43 1193 27 1345
RO393A1_contig68_len1579 345.603 214 3 811
RO393A1_contig69_len751_circularized 52.7913 62 0 78
RO393A1_contig6_len761_circularized 117.8 134 2 173
RO393A1_contig71_len750_circularized 324.916 329 5 693
RO393A1_contig73_len751_circularized 343.988 405 11 463
RO393A1_contig77_len749_circularized 753.637 898 17 1003
RO393A1_contig78_len1610 594.604 591.5 18 841
RO393A1_contig7_len749_circularized 32.7497 25 0 106
RO393A1_contig83_len740_circularized 763.098 907 24 999
RO393A1_contig85_len759_circularized 244.066 287 9 333
RO393A1_contig86_len741_circularized 339.593 409 3 460
RO393A1_contig87_len749_circularized 19.9733 19 0 57
RO393A1_contig88_len1511_circularized 2210.4 1792 46 5209
RO393A1_contig92_len759_circularized 242.318 274 12 381
RO393A1_contig93_len749_circularized 359.841 428 4 484
RO393A1_contig95_len739_circularized 213.84 246 4 303
RO393A1_contig96_len751_circularized 1165.65 1378 33 1544
RO393A1_contig97_len741_circularized 222.616 258 7 302
RO393A1_contig99_len1474_circularized 681.158 540 2 1527
RO393A1_contig9_len740_circularized 280.192 328 11 372
