CONTIG AVERAGE.DEPTH MEDIAN.DEPTH MIN.DEPTH MAX.DEPTH 
HB31A1_contig101_len750_circularized 3176.47 3518 117 5674
HB31A1_contig102_len744_circularized 2380.42 2705.5 105 3645
HB31A1_contig103_len751_circularized 1653.16 1640 48 3974
HB31A1_contig104_len742_circularized 990.822 760 21 3752
HB31A1_contig105_len748_circularized 2270.51 2528.5 69 4412
HB31A1_contig108_len832 5198.96 5658.5 8 6890
HB31A1_contig109_len821 1916.44 2112 27 2595
HB31A1_contig10_len438 4013.93 3919 45 7321
HB31A1_contig110_len840 3067.37 3357.5 19 3999
HB31A1_contig114_len1571 2206.3 1924 32 3467
HB31A1_contig115_len737_circularized 2298.49 2443 71 4460
HB31A1_contig116_len739_circularized 2361.82 2695 14 4217
HB31A1_contig117_len739_circularized 727.08 641 16 2202
HB31A1_contig118_len751_circularized 847.541 808 12 2284
HB31A1_contig11_len738_circularized 3706.42 4164.5 108 5855
HB31A1_contig121_len759_circularized 798.246 758 26 2114
HB31A1_contig122_len1480_circularized 3312.54 3233.5 40 5586
HB31A1_contig123_len748_circularized 1338.87 1404.5 38 2928
HB31A1_contig125_len736_circularized 2997.08 3305.5 86 5085
HB31A1_contig128_len753_circularized 3324.05 3707 109 5229
HB31A1_contig129_len749_circularized 4566.85 5145 142 7072
HB31A1_contig131_len752_circularized 2521.36 2750 69 4685
HB31A1_contig132_len751_circularized 1441.54 1323 29 4221
HB31A1_contig133_len751_circularized 1612.56 1796 58 2843
HB31A1_contig135_len743_circularized 4508.47 5118 188 6993
HB31A1_contig136_len840 4912.04 5420 20 6516
HB31A1_contig137_len750_circularized 2815.51 2992.5 77 5418
HB31A1_contig139_len762_circularized 3873.18 4199.5 114 6655
HB31A1_contig13_len972 1665.02 1483.5 29 4264
HB31A1_contig140_len739_circularized 1260.01 1308 25 2833
HB31A1_contig141_len742_circularized 2439.34 2667 81 3865
HB31A1_contig142_len738_circularized 1473.06 1377.5 40 4197
HB31A1_contig143_len748_circularized 2781.88 3062.5 120 4467
HB31A1_contig144_len738_circularized 892.182 984 29 1375
HB31A1_contig145_len748_circularized 3883.46 4452 127 5552
HB31A1_contig146_len749_circularized 1384.82 1564 64 2144
HB31A1_contig147_len739_circularized 4782.5 5076 147 9967
HB31A1_contig148_len748_circularized 1334.87 1509.5 46 1966
HB31A1_contig149_len739_circularized 1444.88 1588 49 2125
HB31A1_contig150_len750_circularized 2297.75 2669.5 74 3749
HB31A1_contig151_len751_circularized 3205.26 3193 76 8024
HB31A1_contig152_len717_circularized 1858.2 2139 61 2710
HB31A1_contig153_len752_circularized 3517.7 4103 111 5061
HB31A1_contig154_len740_circularized 4164.13 4793.5 139 6069
HB31A1_contig16_len750_circularized 4607.28 5262 139 7325
HB31A1_contig18_len759 1569.05 1687 29 2094
HB31A1_contig20_len740_circularized 722.983 842.5 26 1046
HB31A1_contig21_len750_circularized 1108.52 1252.5 31 1813
HB31A1_contig22_len740_circularized 2809.55 3015 115 4815
HB31A1_contig23_len910 3262.64 3525.5 3 5413
HB31A1_contig24_len750_circularized 2255.36 2606 83 3304
HB31A1_contig25_len752_circularized 2068.95 2129 47 4577
HB31A1_contig29_len741_circularized 1721.4 1776 58 3809
HB31A1_contig2_len739_circularized 1738.55 1976 42 2641
HB31A1_contig32_len739_circularized 5080 5640 156 8401
HB31A1_contig34_len749_circularized 1773.11 2056 65 2714
HB31A1_contig35_len750_circularized 2177.89 2306.5 70 4794
HB31A1_contig36_len756_circularized 1216.85 1360.5 33 1804
HB31A1_contig39_len740_circularized 4516.85 5078.5 190 7077
HB31A1_contig3_len742_circularized 1921.63 2198.5 70 2793
HB31A1_contig42_len747_circularized 2567.07 2865 110 4291
HB31A1_contig45_len1524 6997.68 7495 54 9678
HB31A1_contig46_len1481_circularized 2680.56 2503 54 4416
HB31A1_contig49_len750_circularized 2415.2 2487.5 78 5028
HB31A1_contig52_len838 3692.6 4011.5 14 5676
HB31A1_contig53_len748_circularized 3890.02 3819 92 10105
HB31A1_contig54_len833 4223.82 4593 165 5430
HB31A1_contig56_len420 158.338 111 7 456
HB31A1_contig57_len740_circularized 1484.5 1392.5 28 4336
HB31A1_contig58_len824 2022.08 1605 20 6665
HB31A1_contig60_len741_circularized 2464.71 2780 90 3541
HB31A1_contig61_len836 2970.25 3233 18 3773
HB31A1_contig62_len741_circularized 1819.33 1895 58 3908
HB31A1_contig63_len825 1965.29 2014 53 3406
HB31A1_contig66_len748_circularized 2703.73 2940.5 110 4749
HB31A1_contig68_len740_circularized 4520.57 4977 168 7104
HB31A1_contig69_len1577 6158.41 6453 54 8217
HB31A1_contig70_len747_circularized 2097.89 2212 70 4432
