CONTIG AVERAGE.DEPTH MEDIAN.DEPTH MIN.DEPTH MAX.DEPTH 
HB31A1_contig73_len1120 947.608 1238.5 1 1603
HB31A1_contig78_len739_circularized 4371.27 4948 152 6991
HB31A1_contig7_len740_circularized 5248.22 6122.5 203 7507
HB31A1_contig81_len1586 2249.43 1886 2 4229
HB31A1_contig84_len740_circularized 1400.86 1450 40 3069
HB31A1_contig86_len749_circularized 1269.72 1368 49 2399
HB31A1_contig87_len753_circularized 2494.02 2628 60 5000
HB31A1_contig88_len827 2133.66 2282 10 3210
HB31A1_contig8_len856 2116.45 2266 35 3151
HB31A1_contig92_len749_circularized 1085.46 1026 26 2996
HB31A1_contig93_len900 5209.72 6351 35 7745
HB31A1_contig94_len747_circularized 4321.76 4781 163 6982
HB31A1_contig96_len812 4438.52 4881 8 6635
HB31A1_contig97_len751_circularized 3624.23 3976 118 5579
HB31A1_contig98_len798 3700.95 4205 21 5180
HB31A1_contig99_len759_circularized 2024.57 2178 65 3842
HB31A1_contig9_len737_circularized 862.744 695 15 3204
