CONTIG AVERAGE.DEPTH MEDIAN.DEPTH MIN.DEPTH MAX.DEPTH 
LC106cl6A1_contig100_len749_circularized 3744.04 4110 119 6749
LC106cl6A1_contig101_len2213_circularized 1352.4 1403 25 2800
LC106cl6A1_contig102_len751_circularized 2312.56 2579 88 3755
LC106cl6A1_contig103_len739_circularized 4169.65 4767 168 6053
LC106cl6A1_contig104_len737_circularized 333.909 348 17 681
LC106cl6A1_contig105_len760_circularized 492.52 548.5 14 737
LC106cl6A1_contig106_len751_circularized 3119.57 3511 107 4742
LC106cl6A1_contig107_len741_circularized 1613.44 1907 57 2086
LC106cl6A1_contig108_len742_circularized 1685.02 1885.5 59 2330
LC106cl6A1_contig109_len739_circularized 1307.71 1457 28 2193
LC106cl6A1_contig10_len740_circularized 1640.72 1793.5 48 2685
LC106cl6A1_contig110_len739_circularized 3581.21 4032 140 5359
LC106cl6A1_contig111_len747_circularized 1227.87 1415 43 1876
LC106cl6A1_contig112_len748_circularized 2526.89 2796 78 4089
LC106cl6A1_contig113_len748_circularized 1926.13 2210 63 2990
LC106cl6A1_contig11_len745_circularized 4543.31 5025 166 6846
LC106cl6A1_contig12_len749_circularized 6456.01 7336 246 9989
LC106cl6A1_contig14_len718_circularized 4730.15 5416 146 7431
LC106cl6A1_contig16_len749_circularized 4177.82 4713 183 6547
LC106cl6A1_contig18_len778 1744.91 1944.5 38 2343
LC106cl6A1_contig22_len748_circularized 1847.32 2121.5 51 2797
LC106cl6A1_contig26_len818 659.659 684 7 1020
LC106cl6A1_contig27_len855 2142.42 2150 9 4159
LC106cl6A1_contig28_len747_circularized 3468.42 3968 101 4888
LC106cl6A1_contig29_len748_circularized 2605.65 2970.5 70 3875
LC106cl6A1_contig2_len746_circularized 2477.34 2822 88 3606
LC106cl6A1_contig30_len738_circularized 825.774 906 25 1505
LC106cl6A1_contig32_len752_circularized 2531.19 2938 84 3780
LC106cl6A1_contig35_len739_circularized 1988.94 1965 51 4605
LC106cl6A1_contig36_len740_circularized 4082.32 4615 130 5946
LC106cl6A1_contig37_len929 2016.91 2338 0 2836
LC106cl6A1_contig39_len749_circularized 1405.34 1527 30 2551
LC106cl6A1_contig3_len441 261.161 196 11 637
LC106cl6A1_contig40_len740_circularized 5545.81 6470 213 7562
LC106cl6A1_contig41_len745_circularized 3315.3 3673 122 5083
LC106cl6A1_contig42_len967 1038.03 1212 1 1649
LC106cl6A1_contig45_len749_circularized 3265.25 3657 91 5026
LC106cl6A1_contig49_len1596 3083.32 2981 24 5226
LC106cl6A1_contig4_len738_circularized 3445.4 3833 118 5266
LC106cl6A1_contig50_len739_circularized 1866.08 2009 96 3136
LC106cl6A1_contig51_len751_circularized 4333.88 4990 40 6092
LC106cl6A1_contig52_len741_circularized 2589.15 2850 60 4035
LC106cl6A1_contig53_len738_circularized 948.982 1069.5 17 1520
LC106cl6A1_contig54_len751_circularized 1959.41 2219 62 3018
LC106cl6A1_contig55_len740_circularized 4026.23 4430 146 5608
LC106cl6A1_contig56_len740_circularized 553.92 567 22 1298
LC106cl6A1_contig57_len840 1759.14 1877.5 19 2402
LC106cl6A1_contig58_len862 1253.19 1247.5 1 2230
LC106cl6A1_contig5_len709_circularized 2694.38 3000 80 4423
LC106cl6A1_contig60_len759_circularized 1091.64 1103 32 2271
LC106cl6A1_contig62_len738_circularized 1144.41 1290 39 1892
LC106cl6A1_contig63_len1590 1964.27 1939 34 3460
LC106cl6A1_contig64_len746_circularized 3440.62 3738.5 94 5619
LC106cl6A1_contig65_len741_circularized 5937.79 6779 230 8590
LC106cl6A1_contig69_len812 868.314 929 33 1377
LC106cl6A1_contig6_len750_circularized 2668.56 3004.5 102 3956
LC106cl6A1_contig70_len740_circularized 552.034 424 17 2114
LC106cl6A1_contig73_len739_circularized 3193.06 3646 106 4685
LC106cl6A1_contig76_len738_circularized 1238.26 1418 41 1766
LC106cl6A1_contig77_len751_circularized 2093.32 2454 43 3208
LC106cl6A1_contig78_len651 2051.02 2300 99 2662
LC106cl6A1_contig79_len741_circularized 1584.67 1686 35 3047
LC106cl6A1_contig80_len748_circularized 2062.43 2296 120 3200
LC106cl6A1_contig81_len750_circularized 2008.15 2000 54 4826
LC106cl6A1_contig82_len750_circularized 1035.64 817.5 24 3863
LC106cl6A1_contig83_len739_circularized 1664.44 1780 53 2951
LC106cl6A1_contig85_len749_circularized 2345.7 2689 85 3424
LC106cl6A1_contig87_len1500_circularized 2907.94 3169 43 5387
LC106cl6A1_contig89_len1615 1511.8 334 14 4018
LC106cl6A1_contig8_len878 2904.16 3224 4 4365
LC106cl6A1_contig90_len740_circularized 1254.55 1425 42 2035
LC106cl6A1_contig93_len816 1147.21 1161 7 1998
LC106cl6A1_contig95_len998 574.667 689 1 1035
LC106cl6A1_contig96_len795 1441.04 1749 9 2650
LC106cl6A1_contig97_len747_circularized 1362.9 1417 50 2835
LC106cl6A1_contig98_len739_circularized 1496.11 1636 35 2579
LC106cl6A1_contig99_len740_circularized 2683.62 2780.5 84 5512
LC106cl6A1_contig9_len737_circularized 993.843 1113 30 1466
